"-OR-","-VEYA-"
"It is recommended to set this value to ""PayPal"" per store views.","Bu değeri her mağaza görünümü için ""PayPal"" olarak ayarlamanız tavsiye edilir."
"Items in Your Shopping Cart","Sepetinizdeki Ürünler"
"Last Correlation ID","Son Kolerasyon No"
"Last Transaction ID","Son İşlem No"
"Learn More","Daha fazla bilgi"
"Login","Login"
"Mass Pay Payment","Toplu Tahsilat İşlemi"
"Matched (CVV2)","Eşleşti (CVV2)"
"Matched (CVV2CSC)","Eşleşti (CVV2CSC)"
"Matched Address only (no ZIP)","Sadece Adres Eşleşti (Posta Kodu yok)"
"Matched Address only (no ZIP). International","Sadece Adres Eşleşti (Posta Kodu yok). Uluslararası"
"Matched Postal Code only (no Address)","Sadece Posta Kodu Eşleşti (Adres yok)"
"Matched five-digit ZIP only (no Address)","Sadece 5 haneli Posta Kodu Eşleşti (Adres yok)"
"Matched whole nine-didgit ZIP (no Address)","9 haneli Posta Kodu Eşleşti (Adres yok)"
"Merchant Account","Satıcı Hesabı"
"Merchant Country","Satıcı Ülkesi"
"Merchant Liability","Satıcı Sorumluluğu"
"Merchant Location","Satıcı Lokasyonu"
"Merchant Protection Eligibility","Satıcı Koruma Sorumluluğu"
"Merchant Referral Bonus","Satıcı Tavsiye Bonusu"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Satıcı A.B.D. dışı bir hesap kullanıyor ve para çekme imkanına sahip değil."
"Merchant reference ID format is not supported.","Satıcı referans No biçimi desteklenmemektedir."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Satıcı, ödeme sözleşmesi özelliğinin aktivasyonu için PayPal a üye olmaya ihtiyaç duyar. Satıcı hesabınız için PayPal tarafından ödeme sözleşmesi aktivasyonuna onay gelmeden bu seçeneği aktif etmeyiniz."
"Mobile Payment (made via a mobile phone)","Mobil Ödeme (mobil cihaz ile)"
"N/A","Mevcut Değil"
"N/A. Address not checked, or acquirer had no response. Service not available","Adres kontrol edilmedi veya herhangi bir cevap alınamadı. Servis uygun değil"
"N/A. Global Unavailable","Global Mevcut Değil"
"N/A. International Unavailable","Uluslararası Mevcut Değil"
"N/A. Merchant has indicated that CVV2 is not present on card","Satıcı, kartta CVV2 olmadığını belirtti."
"N/A. No response","Cevap yok"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","MOTO işlemleri için izin verilmedi(İnternet/Telefon)"
"N/A. Not processed","İşlenmedi"
"N/A. Retry","Yeniden Dene"
"N/A. Service not Supported","Servis desteklenmiyor"
"N/A. Service not available","Servis kullanılabilir değil"
"N/A. Service not supported","Servis desteklenmiyor"
"N/A. The merchant did not provide AVS information","Satıcı AVC bilgisi sağlayamadı"
"N/A. The merchant has not implemented CVV2 code handling","Satıcı CVV2 kodu işlemini uygulayamadı"
"N/A. Unavailable","Mevcut değil"
"Negative Balance","Negatif Bakiye"
"Never","Asla"
"No","Hayır"
"No Details matched","Eşleşen detay bulunamadı."
"No Details matched. International","Eşleşen detay bulunamadı. Uluslararası"
"No Liability Shift","Herhangi bir sorumluluk yön değiştirme bulunamadı"
"No Logo","Logo bulunamadı"
"No match","Eşleşme bulunamadı"
"None of the address information matched","Herhangi bir adres eşleşmedi."
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","PayPal ödeme yöntemini kullandığınızdan emin değil misiniz? Öğrenmek için <a href=""%s"" target=""_blank"">buraya tıklayınız</a>."
"Note: %s","Not: %s"
"Nothing to fetch because of an empty configuration.","Yapılandırma bilgileri boş olduğu için çekim yapılamıyor."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Paypal, 10 adede kadar teslimat seçeneğini desteklemektedir. Eğer 10 taneden fazla teslimat seçeneği varsa Magento en ucuz ilk 10 tanesini gönderecektir."
"Notified customer about creditmemo #%s.","#%s İade Kaydı için müşteri bilgilendirildi."
"Notified customer about invoice #%s.","#%s fatura için müşteri bilgilendirildi."
"Now accepting PayPal (150 X 40)","Şimdi PayPal ile Ödeme Alabilirsiniz (150 X 40)"
"Now accepting PayPal (150 X 60)","Şimdi PayPal ile Ödeme Alabilirsiniz (150 X 60)"
"Number of Child Authorizations","Alt Doğrulama Sayısı"
"Open Authorization","Açık Kimlik Onayı"
"Order","Sipariş"
"Order ID","Sipariş No"
"Order Valid Period (days)","Sipariş Geçerlilik Süresi (gün)"
"Ordered amount of %s.","Sipariş tutarı %s."
"Ordering amount of %s is pending approval on gateway.","Sipariş tutarı %s tahsilat servisinde onay bekliyor."
"Page Background Color","Sayfa Arka Plan Rengi"
"Page Style","Sayfa Biçimi"
"Part of the address information matched","Adres bilgisi kısmen eşleşti"
"Partner","Çözüm Ortağı"
"Pasarela integral","Pasarela Tamamlayıcı"
"Password","Şifre"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal Hepsi bir Arada Ödeme Çözümleri&nbsp;&nbsp;<i>hem kredi kartından hemde PayPal üzerinden ödeme kabul eder ve işlem yapar.</i>"
"PayPal Balance Manager function of PayPal account","PayPal hesabının PayPal Bakiye Yönetici Fonksiyonu"
"PayPal Billing Agreement Settings","Paypal Ödeme Sözleşmesi Ayarları"
"PayPal Buyer Warranty Bonus","PayPal Alıcı Garanti Bonusu"
"PayPal Debit Card Cash Advance","PayPal Debit Kart Ödeme İlerlemesi"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Kartı ile ATM den para çekme"
"PayPal Express Checkout","PayPal Ekspres Ödeme"
"PayPal Express Checkout Shortcut Wrapper","PayPal Ekspres Ödeme Kısayol Çerçevesi"
"PayPal Express Checkout Token does not exist.","PayPal Ekspres Ödeme anahtar bilgisi bulunamadı."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout aktif değil."
"PayPal Express Order Review Form","PayPal Express Sipariş Önizleme"
"PayPal Fee Information","PayPal Ücret Bilgisi"
"PayPal Merchant Pages Style","PayPal Satıcı Sayfa Stilleri"
"PayPal Payment Gateways","PayPal Tahsilat Servisi"
"PayPal Payment Solutions","PayPal Tahsilat Çözümleri"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","PayPal Ürün Logosu"
"PayPal Protection Bonus","PayPal Koruma Bonusu"
"PayPal Reference ID","PayPal Referans ID"
"PayPal Reference ID Type","PayPal Referans ID Tipi"
"PayPal Settlement Reports","PayPal Bakiye Raporları"
"PayPal certificate does not exist.","PayPal sertifikası bulunamadı."
"PayPal certificate file is empty.","PayPal sertifika dosyası boş."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal sıfır tutarlı siparişleri desteklemez. Siparişinizi tamamlamak için standart alışveriş işlemini kullanınız."
"PayPal gateway has rejected request. %s","PayPal servisi isteği reddetti. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal manager.paypal.com adresindeki hesabınızda ek bir kullanıcı oluşturulmasını önerir."
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal, buraya gireceğiniz kullanıcı adı ve şifreye göre manager.paypal.com adresinde hesabınız üzerinde ek bir kullanıcı oluşturulmasını önerir. Eğer daha sonra şifrenizi değiştirirseniz, bu özellik güvenlik ve hizmet kesintilerini önlemeyi arttırır. Eğer bu özellik ile ek bir hesap yaratılmasını istemezseniz, Satıcı Login hesabınıza yeniden giriş yapınız."
"PayPal response hasn't required fields.","Paypal cevabı zorunlu alanları içermiyor."
"PayPal retains reports for 45 days.","Paypal 45 günlük raporları barındırır."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Elektronik Ticaret Göstergesi"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Müşteri Kimlik Onay Sonucu"
"Payer Address ID","Ödeme Yapan Adres No"
"Payer Address Status","Ödeme Yapan Adres Durumu"
"Payer Email","Ödeme Yapanın E-posta Adresi"
"Payer ID","Ödeme Yapan No"
"Payer Status","Ödeme Yapanın Durumu"
"Payer is not identified.","Ödeme Yapan tanımlanmadı."
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (Express Checkout Dahil)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Express Checkout Dahil)"
"Payflow Pro and Express Checkout","Payflow Pro and Express Checkout"
"Payment Action","Ödeme İşlemi"
"Payment Applicable From","Uygun Ödeme Formu"
"Payment Refund initiated by merchant","Ödeme iadesi satıcı tarafından başlatıldı"
"Payment has been declined. Please try again.","Ödeme kabul edilmedi. Lütfen tekrar deneyiniz."
"Payment transactions disallow storing objects.","Ödeme işlemleri nesneleri kaydetmeye izin vermiyor."
"Payments Advanced","Payments Advanced"
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Express Checkout Dahil)"
"Payments Pro (Includes Express Checkout)","Payments Pro (Express Checkout Dahil)"
"Payments Pro Hosted Solution","Payments Pro Hosted Çözümü"
"Payments Pro and Express Checkout","Payments Pro and Express Checkout"
"Payments Standard","Payments Standard"
"Payments by PayPal (150 X 40)","PayPal Ödemeleri (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal ileTahsilat (150x60)"
"Pending PayPal","PayPal Bekleniyor"
"Place Order","Sipariş Ver"
"Please agree to all the terms and conditions before placing the order.","Siparişi tamamlamak için Satış Şartları ve Koşullarını kabul etmeniz gerekmektedir."
"Please do not refresh the page until you complete payment.","Lütfen ödeme işlemi tamamlanana kadar sayfayı yenilemeyiniz."
"Please re-enable the previously enabled payment solutions.","Önceki aktif edilmiş ödeme çözümlerini lütfen yeniden aktif ediniz."
"Please select a shipping method...","Lütfen bir teslimat yöntemi seçiniz…"
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Please update order data to get shipping methods and rates","Teslimat yöntemleri ve fiyatlarının belirlenebilmesi için sipariş bilgilerini güncelleyiniz"
"Points Incentive Redemption","Puan Teşvik Paraya Dönüştürme"
"Postage Payment to either USPS or UPS","USPS veya UPS için gönderim ücreti"
"Preapproved Payment (BillUser API), either sent or received","Ön Onaylı Ödeme (BillUser API), gönderildi veya alındı"
"Preapproved Payment ID","Ön Onaylı Ödeme No"
"Price","Fiyat"
"Pro","Profesyonel"
"Process payments using your own internet merchant account.","Ödeme işlemleri için sizin internet satıcı hesabınız kullanılıyor."
"Product Name","Ürün Adı"
"Proxy Host","Vekil Sunucu Adresi"
