"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Ürün(ler)"
"%s and above","%s ve aşağısı"
"In stock","stokta mevcut"
"Incl. Tax","Vergi Dahil"
"Index product and categories URL rewrites","Ürün ve Kategoriler için adres yeniden yazımı bilgisini indeksle"
"Index product attributes for layered navigation building","Katmanlı Gezinme için ürün özelliklerini indeksle"
"Index product prices","Ürün fiyatlarını indeksle"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Info","Bilgi"
"Info Column Options Wrapper","Bilgi Kolonu Seçenek Çerçevesi"
"Input Type","Giriş Tipi"
"Integer","Tamsayı"
"Interval Division Limit","Aralık Bölünme Limiti"
"Invalid Tier Prices","Hatalı Katman Fiyatları"
"Invalid attribute %s","Hatalı özellik %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","%s (%s) özellik için hatalı seçenek belirlendi, kayıt atlanıyor."
"Invalid attribute set specified, skipping the record.","Hatalı özellik seti tanımlandı, kayıt atlanıyor."
"Invalid block: %s.","Hatalı blok: %s."
"Invalid category IDs.","Geçersiz kategori no."
"Invalid category.","Hatalı kategori."
"Invalid image file type.","Hatalı resim dosyası tipi."
"Invalid image type.","Hatalı resim tipi."
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s) için hatalı seçenek no belirlendi, kayıt atlanıyor."
"Invalid product type specified, skipping the record.","Hatalı ürün tipi tanımlandı, kayıt atlanıyor."
"Invalid store specified","Hatalı mağaza tanımlandı"
"Invalid store specified, skipping the record.","Hatalı mağaza tanımlandı, kayıt atlanıyor."
"Invalid tier prices. The product is not associated to the requested website.","Hatalı katman fiyatları. Bu ürün istediğiniz mağaza ile ilişkili değil."
"Inventory","Envanter"
"Is Default","Varsayılan"
"Is Required","Zorunlu"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda ve aramada görünmesini istemediğiniz ürünlerin durumu 'Pasif' olmalıdır."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda ve aramada görünmesini istemediğiniz ürünlerin durumu 'Pasif' olmalıdır."
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Label","Etiket"
"Last Name","Soyadı"
"Last Notification","Son Bildirim"
"Layered Navigation","Katmanlı Gezinme"
"Learn More","Daha fazla bilgi"
"Line %d, Email: %s","Satır %d, E-posta: %s"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Link (Related, Up sell, Cross sell)","Bağlantı (İlişkili, Üst Satış, Çapraz Satış)"
"Link product does not exist.","Bağlı ürün bulunamıyor."
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"List","Liste"
"List Mode","Liste Tipi"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"List of types","Tipleri listele"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"Manage Label / Options","Etiket / Seçenek Yönetimi"
"Manage Options (values of your attribute)","Seçenekleri Yönet (özelliğindeki değerler)"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Products","Ürünleri Yönet"
"Manage Stock","Stok Yönetimi"
"Manage Titles (Size, Color, etc.)","Etiketleri Yönet (Boyut, Renk vb...)"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek Derinlik"
"Maximum Image Size","En yüksek Resim Boyutu"
"Maximum Number of Price Intervals","En yüksek Fiyat Aralık Sayısı"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Maximum allowed image size for '%s' is %sx%s px.","'%s' için izin verilen maksimum resim boyutu %sx%s px."
"Maximum image height","En fazla resim yüksekliği"
"Maximum image width","En fazla resim genişliği"
"Maximum number of characters:","En fazla karakter sayısı:"
"Maximum number of price intervals is 100","En yüksek Fiyat Aralık Sayısı 100 dür"
"Media Image","Resim"
"Minimum Advertised Price","Minimum Reklam Ücreti"
"Minimum Lines per Page","Sayfa Başına En düşük Satır sayısı"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"Minimum Qty for Item\'s Status to be Out of Stock","Ürünün Stokta Yok olarak gözükmesi için gereken minimum adet"
"Missing SKU, skipping the record.","SKU bilgisi bulunamadı, kayıt atlanıyor."
"More Views","Diğer Görünümler"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Must be in the allowed values list.","İzin verilen değerler listesinde olmalıdır."
"N/A","Mevcut Değil"
"Name","Adı"
"Name in %s","%s deki Adı"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"New Products Grid Template","Yeni Ürünler Izgara Görünümü"
"New Products List Template","Yeni Ürünler Liste Görünümü"
"New Root Category","Yeni Kök Kategori"
"New Search","Yeni Arama"
"New Set Name","Yeni Set Adı"
"New Subcategory","Yeni Alt Kategori"
"New products","Yeni Ürünler"
"Next","Sonraki"
"No","Hayır"
"No image","Resim yok"
"No layout updates","Şablon güncelleme yok"
"No options of this product are available.","Bu ürünün seçenekleri yok."
"No product collections found.","Herhangi bir ürün kaydı bulunamadı."
"None","Yok"
"Not Visible Individually","Tek başına Görünmez"
"Notify Low Stock RSS","Düşük Stok RSS Akışı"
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Number of Products per Page","Sayfa başına Ürün Sayısı"
"Number of Products to Display","Gösterilecek Ürün Sayısı"
"Number of Uses","Kullanım Sayısı"
"Number of results","Sonuç numarası"
"Number of results (For the last time placed)","Sonuç sayısı (Son eklendiğinde)"
"OK","TAMAM"
"OR","veya"
"Old Price:","Eski Fiyat:"
"On Gesture","Jest üzerinde"
"Option validation failed to add product to cart.","Ürün sepete eklenirken seçenek doğrulama hatası oldu."
"Option values","Seçenek değerleri"
"Option:","Seçenek:"
"Options","Seçenekler"
"Options Control","Seçenekler Kontrolü"
"Options is required","Seçenekler zorunludur"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Müşteri Hizmlerimiz 7/24 hizmetinizdedir. Bizi (555) 555-0123 numaradan arayabilirsiniz."
"Out of Stock","Stok mevcut değil"
"Out of stock","Stok mevcut değil"
"PM","Öğleden Sonra"
"Page Title Separator","Sayfa Başlık Ayracı"
"Parent Category","Üst Kategori"
"Pending","Bekliyor"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Percentage","Yüzdesel"
"Please add rows to option.","Lütfen seçeneğe satır ekleyiniz."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Bu satıra tıkladığınızda seçilmiş dosyadan veriler yükleneceğini ve  kaydedilmemiş verilerinizin silineceğini lütfen dikkate alınız."
"Please click on the Close Window button if it is not closed automatically.","Eğer otomatik kapanmazsa, Lütfen Pencereyi Kapat butonuna basınız."
"Please enter a new group name","Yeni bir grup adı giriniz"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Lütfen ""Katalog URL Yeniden Yazımı"" ve ""Ürün Özellikleri"" indekslerini yenileyin ( Sistem -&gt; <a href=""%s"">İndeks Yönetimi</a> )"
"Please select a static block ...","Lütfen bir statik blok seçiniz..."
"Please select items.","Lütfen kayıtları seçiniz."
"Please select one or more attributes.","Lütfen bir veya daha fazla özellik seçiniz."
"Please select product(s).","Lütfen ürün(ler)i seçiniz."
"Please select products for attributes update","Lütfen özellikleri güncellenecek ürünleri seçiniz"
"Please specify date required option(s).","Lütfen tarih için zorunlu seçenek(ler)i belirleyiniz."
"Please specify the number of products, that will not be divided into subintervals.","En kısa bölünme limiti için ürün sayısını belirtiniz."
"Please specify the product required option(s)","Lütfen gerekli olan ürün seçeneklerini seçiniz"
"Please specify the product required option(s).","Lütfen üründe zorunlu seçenekleri belirleyiniz."
"Please specify the product\'s option(s).","Lütfen ürünün seçenek(ler)ini belirleyiniz."
"Please specify the product\'s required option(s).","Lütfen üründe zorunlu seçenekleri belirleyiniz."
"Please specify the quantity of product(s).","Lütfen ürün adedini belirleyiniz."
"Please specify time required option(s).","Lütfen saat için zorunlu seçenek(ler)i  belirleyiniz."
"Please wait...","Lütfen bekleyiniz…"
"Position","Konum"
"Position in Layered Navigation","Katmanlı Gezinmedeki Yeri"
"Position of attribute in layered navigation block","Özelliğin Katmanlı Gezinme Menüsündeki Sıralaması"
"Prev","Önceki"
"Previous","Önceki"
"Price","Fiyat"
"Price Navigation Step Calculation","Fiyat Gezinmesi Adım Hesaplaması"
"Price Type","Fiyat Tipi"
"Price is not available","Fiyat Bulunamadı"
