"%s","%s"
"%s already exist.","%s zaten mevcut."
"%s already exists.","%s zaten mevcut."
"-- Please Select --","-- Lütfen Seçiniz --"
"Credit card number does not match credit card type.","Kredi kartı numarası, kart tipi ile eşleşmiyor."
"Current Package Name","Mevcut Paket Adı"
"Custom Admin Path","Özel Yönetim Adresi"
"Custom Admin URL","Yönetim Sayfası için Özel URL"
"Custom Design","Özel Tasarım"
"Custom Email 1","Özel Email 1"
"Custom Email 2","Özel Email 2"
"Custom Variables","Özel Değişkenler"
"Custom1 Contact Email","Özel1 İletişim E-posta Adresi"
"Custom1 Contact Name","Özel1 E-posta Adı"
"Custom2 Contact Email","Özel2 İletişim E-posta Adresi"
"Custom2 Contact Name","Özel2 E-posta Adı"
"Customer Support","Müşteri Desteği"
"Dashboard","Panel"
"Date From","Başlangıç Tarihi"
"Date To","Son Tarih"
"Date/time format ""%s"" is not supported.","Tarih/Saat biçimi ""%s"" desteklenmiyor."
"Debug","Hata Ayıklama"
"Default","Varsayılan"
"Default Country","Varsayılan Ülke"
"Default Description","Varsayılan Meta Açıklama (Description)"
"Default Keywords","Varsayılan Kelimeler"
"Default No-route URL","Varsayılan Sayfa bulunamadı URL"
"Default Pages","Varsayılan Sayfalar"
"Default Robots","Varsayılan Robotlar"
"Default Store","Varsayılan Mağaza"
"Default Store View","Varsayılan Mağaza Görünümü"
"Default Title","Varsayılan Başlık"
"Default Web URL","Varsayılan Web URL"
"Delete","Sil"
"Delete Store","Mağazayı Sil"
"Delete Store View","Mağaza Gorunumünü Sil"
"Delete Website","Websitesini Sil"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s silmek %1$s ile bağlı bilgileri silmez (örnek kategoriler, ürünler, vs.), fakat %1$s geri alınamaz. Bu yüzden %1$s silmeden önce veritabanının bir yedeğini almanız tavsiye edilir."
"Design","Tasarım"
"Design Change","Tasarım Değiştir"
"Developer","Geliştirici"
"Developer Client Restrictions","Geliştirici İstemcisi Kısıtlamaları"
"Disable Email Communications","E-posta iletişimini kapat"
"Disable Modules Output","Modül Kullanımını Kapat"
"Display Demo Store Notice","Demo Mağaza Yazısını Göster"
"Duplicate Of Template Name","Yinelenen Şablon İsmi"
"Edit Design Change","Tasarım Değişimini Düzenle"
"Edit Store","Mağazayı Düzenle"
"Edit Store View","Mağaza Görünümünü Düzenle"
"Edit Website","Websitesini Düzenle"
"Empty identifier field name","Kimlik alan adını boş"
"Empty main table name","Ana tablo adı boş"
"Enable Charts","Grafikleri Aktif et"
"Enabled","Aktif edildi"
"Enabled for Admin","Yönetici için Aktif Edildi"
"Enabled for Frontend","Ön Sayfa için Aktif edildi"
"Environment Update Time","Çevresel verilerin güncellenme zamanı"
"Error in file: ""%s"" - %s","Dosyada Hata: ""%s"" - %s"
"European Union Countries","Avrupa Birliği Ülkeleri"
"Exceptions Log File Name","Hata Günlüğü Dosya Adı"
"Favicon Icon","Favicon İkonu"
"File %s does not exist","%s dosyası bulunamadı"
"File %s is not readable","%s dosyası okunamıyor"
"File not found","Dosya bulunamadı"
"File system","Dosya Sistemi"
"File with an extension ""%value%"" is protected and cannot be uploaded","""%value%"" uzantılı dosyalar koruma altındadır ve yüklenemez"
"First Day of Week","Haftanın İlk Günü"
"Flush Cache Storage","Ön Bellek Deposunu Boşalt"
"Flush Magento Cache","Magento Ön Belleğini Boşalt"
"Footer","Alt Kısım"
"Forgot Password Email Sender","Şifremi Unuttum E-Posta Göndericisi"
"Forgot Password Email Template","Şifremi Unuttum E-posta Şablonu"
"General","Genel"
"General Contact","Genel İletişim"
"General Contact Email","Genel İletişim E-posta Adresi"
"General Contact Name","Genel İletişim Adı"
"General Settings","Genel Ayarlar"
"Get info about current Magento installation","Mevcut Magento kurulumu hakkında bilgi al"
"Global","Global"
"HTML Head","HTML Başlık"
"HTML tags are not allowed","HTML etiketlerine izin verilmez"
"Header","Başlık"
"Host","Sunucu"
"How many links to display at once.","Bir defada gösterilecek bağlantı sayısı."
"ID Path for Specified Store","Belirlenen mağaza için ID yolu"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Mevcut çerçevenin pozisyonu büyük sayfaları kapsamıyorsa, mevcut değeri artı/eksi ayarlayarak konumlandırabilirsiniz."
"Incorrect credit card expiration date.","Geçersiz kredi kartı son kullanım tarihi"
"Input type ""%value%"" not found in the input types list.","Giriş tipi ""%value%"" giriş tipleri listesinde bulunamadı."
"Invalid URL '%value%'.","Hatalı URL '%value%'."
"Invalid base url type","Geçersiz ana url tipi"
"Invalid block name to set child %s: %s","Alt kayıt için hatalı blok adı %s: %s"
"Invalid block type: %s","Hatalı blok tipi: %s"
"Invalid block: %s","Hatalı blok: %s"
"Invalid connection","Hatalı bağlantı"
"Invalid layout update handle","Hatalı yapı güncelleme tutamacı"
"Invalid messages storage ""%s"" for layout messages initialization","""%s"" yapı mesajları başlangıcı için hatalı mesaj deposu "
"Invalid query","Hatalı sorgu"
"Invalid transactional email code: %s","Geçersiz işlem e-posta kodu: %s"
"Invalid website\'s configuration path: %s","Websitesi yapılandırma yolu hatalı: %s"
"JavaScript Settings","JavaScript Ayarları"
"Layout","Şablon"
"Leave empty for access from any location.","Her yerden erişebilmek için bu alanı boş bırakınız."
"List of stores","Mağaza listesi"
"Locale","Yerel"
"Locale Options","Yerel Seçenekler"
"Log Settings","Günlük Ayarları"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Mage::log() tarafından loglandı. Dosya {{base_dir}}/var/log lokasyondadır."
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Mage::logException() tarafından loglandı. Dosya {{base_dir}}/var/log lokasyondadır."
"Login is Case Sensitive","Giriş bilgileri büyük/küçük harfe duyarlıdır"
"Logo Image","Logo Resim Dosyası"
"Logo Image Alt","Logo Dosyası Alt Açıklaması"
"Logo Image Src","Logo Dosyası"
"Magento info","Magento bilgisi"
"Magento info API","Magento bilgisi API"
"Mail Sending Settings","E-posta Gönderim Ayarları"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Ana adresin '/' (slaş veya bölü) ile bittiğinden emin olunuz, örnek http://www.siteniz.com/magento/"
"Manage Stores","Mağazaları Yönet"
"Match expressions in the same order as displayed in the configuration.","İfadeleri yapılandırmada gösterildiği sırayla eşleştir."
"Media Storage","Medya Deposu"
"Merge CSS Files","CSS dosyalarını Birleştir"
"Merge JavaScript Files","Javascript Dosyalarını Birleştir"
"Miscellaneous HTML","Çeşitli HTML"
"Miscellaneous Scripts","Çeşitli Scriptler"
"Model collection resource name is not defined.","Model koleksiyonu kaynak adı belirtilmedi."
"Module ""%1$s"" cannot depend on ""%2$s""."," ""%1$s"" modülü ""%2$s""'a ait değil."
"Module ""%1$s"" requires module ""%2$s"".","Modül ""%1$s"" ""%2$s"" modülünü ister"
"Name","Adı"
"New Design Change","Yeni Tasarım Değişimi"
"New Store","Yeni Mağaza"
"New Store View","Yeni Mağaza Görünümü"
"New Website","Yeni Web Sitesi"
"No","Hayır"
"Offloader header","Yükleyici başlığı"
"PHP SOAP extension is required.","PHP SOAP eklentisi zorunludur."
"Package","Paket"
"Pagination","Sayfalama"
"Pagination Frame","Sayfalama çerçevesi"
"Pagination Frame Skip","Sayfalama çerçevesi atlama"
"Parent directory does not exist: %s","Üst klasör bulunamadı: %s"
"Path ""%value%"" is not available and cannot be used.","Dosya yolu ""%value%"" bulunamadı ve kullanılamaz."
"Path ""%value%"" is protected and cannot be used.","""%value%"" için erişim yetkisi yok ve kullanılamaz."
"Path \""%value%\"" may not include parent directory traversal (""../"", ""..\\).""","Dosya yolu \""%value%\"" üst dizine geçme işaretlerini içeremez (\""../\"", \""..\\).\"""
"Please define flag code.","Lütfen bayrak kodunu giriniz."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Lütfen en az 6 karakter giriniz. Baştaki ve sondaki boşluklar görmezden gelinecektir."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","En az 7 harf girmelisiniz. Şifrede en az bir harf ve bir rakam olmalıdır."
"Please enter a number 0 or greater in this field.","Lütfen bu alana 0 veya daha büyük bir sayı giriniz."
"Please enter a number 1 or greater in this field.","Lütfen bu alana 1 veya daha büyük bir sayı giriniz."
"Please enter a number greater than 0 in this field.","Lütfen bu alana sıfırdan büyük bir değer giriniz."
"Please enter a number lower than 100.","Lütfen 100 'den küçük bir rakamsal değer giriniz."
"Please enter a valid $ amount. For example $100.00.","Lütfen geçerli bir TL tutar giriniz. Örnek: 100 TL"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Lütfen geçerli bir URL anahtarı giriniz. Örnek ""ornek-sayfa"", ""ornek-sayfa.html"" veya ""baskayer/ornek-sayfa""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Lütfen geçerli bir URL giriniz. Örnek:  http://www.abc.com veya www.abc.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Lütfen geçerli bir URL giriniz. Protokol alanı zorunludur (http://, https:// or ftp:// gibi)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Lütfen geçerli bir XML tanıtıcısı giriniz. Örnek ornek_1, blok5, no-4, id-22."
"Please enter a valid credit card number.","Lütfen geçerli bir kredi kartı numarası giriniz."
"Please enter a valid credit card verification number.","Lütfen geçerli bir kredi kartı numarası giriniz."
"Please enter a valid date between %s and %s","%s ve %s arasında geçerli bir tarih giriniz"
"Please enter a valid date equal to or greater than %s","Lütfen bu tarihe %s eşit veya daha yeni bir tarihi giriniz"
"Please enter a valid date less than or equal to %s","Lütfen bu tarihe %s eşit veya daha eski bir tarihi giriniz"
"Please enter a valid date.","Lütfen geçerli bir tarih giriniz."
"Please enter a valid day (1-%d).","Lütfen geçerli bir gün giriniz (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Lütfen geçerli bir e-posta adresi giriniz. Örnek: ayse@abc.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Lütfen geçerli bir faks numarası giriniz. Örnek (123) 456-7890 veya 123-456-7890."
"Please enter a valid full date","Lütfen geçerli bir tam tarih giriniz"
"Please enter a valid month (1-12).","Lütfen geçerli bir ay giriniz (1-12)."
"Please enter a valid number in this field.","Lütfen geçerli bir sayı giriniz."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Lütfen geçerli bir telefon numarası giriniz. Örnek: (123) 456-7890 veya 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Lütfen geçerli bir sosyal güvenlik numarası giriniz. Örnek 123-45-6789."
"Please enter a valid year (1900-%d).","Lütfen geçerli bir yıl giriniz (1900-%d)."
"Please enter a valid zip code.","Lütfen geçerli bir posta kodu giriniz."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Lütfen geçerli bir posta kodu giriniz. Örnek: 34000"
"Please enter issue number or start date for switch/solo card type.","Lütfen Switch/solo kartı için işlem numarası veya başlangıç tarihi giriniz."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Geçerli bir CSS uzunluğu giriniz. Örnek: 100px veya 77pt veya 20em veya .5ex veya 50%."
"Please make sure your passwords match.","Şifrelerinizin aynı olduğundan emin olunuz."
"Please select State/Province.","Lütfen Şehir seçiminizi yapınız."
"Please select a file","Lütfen dosya seçiniz"
"Please select an option.","Lütfen seçeneklerden birini seçiniz."
"Please select one of the above options.","Lütfen yukarıdaki seçeneklerden birini seçiniz."
"Please select one of the options.","Lütfen seçeneklerden birini seçiniz."
"Please set available and/or protected paths list(s) before validation.","Lütfen doğrulamadan önce mümkün olan korunan dizin listesini ayarlayınız."
"Please specify either a category or a product, or both.","Lütfen bir kategor, ürün veya ikisini birden belirtniz"
"Please use letters only (a-z or A-Z) in this field.","Lütfen bu alanda sadece harf kullanınız (a-z veya A-Z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Lütfen bu alanda sadece sayı kullanınız.  Boşluk ve diğer karakterler kabul edilmemektedir."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Lütfen bu alanda sadece harf (a-z veya A-Z) veya rakam (0-9) kullanınız. Boşluk ve diğer karakterler kabul edilmemektedir."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Lütfen bu alanda sadece harf (a-z veya A-Z), rakam (0-9), boşluk ve diyez (#) kullanınız. Boşluk ve diğer karakterler kabul edilmemektedir."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Lütfen bu alanda sadece harf (a-z or A-Z), rakam (0-9) veya alt çizgi (_) kullanınız, ilk hane kesinlikle harf olmalıdır."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Lütfen bu alanda sadece harf (a-z), rakam (0-9), altçizgi (_) ve diyez (#) kullanınız. İlk karakter kesinlikle harf olmalıdır."
"Please use only visible characters and spaces.","Sadece görülebilen karakterler ve boşluk kullanınız."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Lütfen tarihleri gg/aa/yyyy biçiminde giriniz. Örnek 17 Mart 2006 için 17/03/2006"
"Please wait, loading...","Lütfen bekleyiniz, yükleniyor..."
"Polls","Anketler"
"Port (25)","Port(25)"
"Profiler","Profil Gösterici"
"Recovery Link Expiration Period (days)","Geri Kurtarma Bağlantısı Bitiş Süresi (gün)"
"Request Path for Specified Store","Belirlenen Mağaza için İstem adresi"
"Request path length exceeds allowed %s symbols.","Talep edilen dizin yolu, izin verilen %s karakter uzunluğu aşmıştır."
"Requested file may not include parent directory traversal (\""../\"", \""..\\ notation\"")","İstenen dosya üst dizine geçme işaretlerini içeremez  (\""../\"", \""..\\ gösterim\"")"
"Requested invalid store ""%s""","Hatalı mağaza isteği ""%s"""
"Resource is not set.","Kaynak ayarlanmadı."
"Retrieve info about current Magento installation","Mevcut Magento kurulumu hakkında bilgi getir"
"Retrieve store data","Mağaza bilgisini getir"
"Retrieve store list","Mağaza listesini getir"
"Return-Path Email","Dönüş E-posta adresi"
"Root Category","Ana Kategori"
"Sales Representative","Satış Sorumlusu"
"Sales Representative Contact Email","Satış Görevlisi/Departmanı İletişim E-postası"
"Sales Representative Contact Name","Satış Görevlisi/Departmanı Yetkili Adı"
"Save","Kaydet"
"Save Store","Mağazayı Kaydet"
"Save Store View","Mağaza Görünümünü Kaydet"
"Save Website","Websitesini Kaydet"
"Search Engines Optimization","Arama Motoru Optimizasyonu"
"Secure","Güvenli"
"Security","Güvenlik"
"Select Date","Tarih seçiniz"
"Select Media Database","Medya Veritabanı Seçiniz"
"Sender Email","Gönderici E-posta Adresi"
"Sender Name","Gönderici Adı"
"Services","Hizmetler"
"Session Cookie Management","Oturum Çerez Yönetimi"
"Session Lifetime (seconds)","Oturum Ömrü (saniye)"
"Session Validation Settings","Oturum Onaylama Ayarları"
"Set Return-Path","Dönüş Yolu Belirt"
"Set as Default","Varsayılan olarak Ayarla"
"Skin (Images / CSS)","Tema (Resimler / CSS)"
"Sort Order","Sıralama"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Girdiğiniz tarih/saat ""%1$s"", ""%2$s"" biçimine uymuyor."
"Start date cannot be greater than end date.","Başlangıç tarihi bitiş tarihinden sonra olamaz."
"Startup Page","Başlangıç Sayfası"
"Status","Durum"
"Storage Configuration for Media","Medya için Depolama Yapılandırma"
"Store","Mağaza"
"Store API","Mağaza API"
"Store Contact Address","Mağaza İletişim Adresi"
"Store Contact Information","Mağaza İletişim Bilgisi"
"Store Contact Telephone","Mağaza İletişim Telefonu"
"Store Email Addresses","Mağaza E-posta Adresleri"
"Store Information","Mağaza Bilgisi"
"Store Name","Mağaza Adı"
"Store View","Mağaza Görünümü"
"Store View Information","Mağaza Görünümü Bilgisi"
"Store View Name","Mağaza Görünüm Adı"
"Store view doesn't exist","Mağaza görünümü bulunamıyor"
"Store with the same code","Aynı kod ile bir mağaza zaten kayıtlı"
"System","Sistem"
"System Log File Name","System Günlük Dosyası Adı"
"Template Path Hints","Şablon Yolu İpuçları"
"Template Settings","Şablon Ayarları"
"Template Variables","Şablon Değişkenleri"
"Templates","Şablonlar"
"Text length does not satisfy specified text range.","Metin uzunluğu belirtilen metin aralığını karşılamıyor."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Girdiğiniz %s hatalı. ""http://domain.com/"" biçiminde olduğundan emin olunuz."
"The From Date value should be less than or equal to the To Date value.","İlk tarih son tarihe eşit veya ondan daha düşük olmalıdır."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Mağaza kodu alanında sadece harf (a-z), rakam (0-9) veya alt çizgi (_) kullanınız. İlk karakter harf olmalıdır."
"The store does not exist","Mağaza bulunamıyor"
"The store has been deleted.","Mağaza silindi."
"The store has been saved.","Mağaza kaydedildi."
"The store view has been deleted.","Mağaza görünümü silindi."
"The store view has been saved","Mağaza görünümü kaydedildi"
"The template Name must not be empty.","Şablon adı boş olamaz."
"The value is not within the specified range.","Değer izin verilen aralıkta değil."
"The website does not exist.","Websitesi kaydı bulunamıyor."
"The website has been deleted.","Websitesi kaydı silindi."
"The website has been saved.","Websitesi kaydedildi."
"Themes","Temalar"
"This category and all its child elements","Bu kategori ve tüm alt elemanları"
"This category and its child categories only","Bu kategori ve alt kategorileri"
"This category and its products only","Bu kategori ve ürünleri"
"This category only","Sadece bu kategori"
"This date is a required value.","Tarih alanı zorunludur."
"This is a required field.","Bu alan zorunludur."
"This store cannot be deleted.","Bu mağaza silinemiyor."
"This store view cannot be deleted.","Bu mağaza görünümü silinemiyor."
"This website cannot be deleted.","Bu web sitesi silinemiyor."
"This will be displayed just before body closing tag.","Bu alandaki veriler body kapatma verisinden önceki alana yerleştirilecektir."
"This will be included before head closing tag in page HTML.","Bu alandaki veriler head kapatma verisinden önceki alana yerleştirilecektir."
"Timezone","Zaman Dilimi"
"Title Prefix","Başlık Öneki"
"Title Suffix","Başlık Soneki"
"Transactional Emails","İşlem E-postaları"
"Translate Inline","Anında Çevir"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Canlı tercüme yapılırken Çeviri, Bloklar ve diğer çıkış veren ön bellek tipleri kapalı olmalıdır."
"Translations","Çeviriler"
"Two and more slashes together are not permitted in request path","2 veya daha fazla / (slaş,bölü) istem adresinde yanyana kullanılamaz"
"Two and more slashes together are not permitted in url rewrite suffix","2 veya daha fazla slaş, URL yeniden yazımı (URL rewrite) verisinde  yanyana kullanılamaz"
"Unable to create directory: %s","Klasör oluşturulamadı: %s"
"Unable to delete store view. Please, try again later.","Mağaza görünümü silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to delete store. Please, try again later.","Mağaza silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to delete website. Please, try again later.","Websitesi silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to proceed. Please, try again","Yapılamadı. Lütfen daha sonra tekrar deneyiniz"
"Unable to proceed. Please, try again.","İşlem yapılamıyor. Lütfen tekrar deneyiniz."
"Unable to save file ""%s"" at ""%s""","Dosya kaydedilemedi ""%s"" => ""%s"""
"Unable to save file: %s","Dosya kaydedilemedi: %s"
"Unknown old style column type definition: {$definition}.","Bilinmeyen eski tip kolon tip tanımı: {$definition}."
"Unknown scope ""%s"".","Bilinmeyen havuz ""%s""."
"Unsecure","Güvensiz"
"Url Options","URL Seçenekleri"
"Use Custom Admin Path","Özel Yönetim Sayfası Adresi Kullan"
"Use Custom Admin URL","Yönetim sayfası için Özel URL kullan"
"Use HTTP Only","Sadece HTTP Kullan"
"Use SID on Frontend","Ön Sayfada SID (Oturum Anahtarı) kullan"
"Use Secure URLs in Admin","Yönetim Sayfasında Güvenli URL kullan"
"Use Secure URLs in Frontend","Ön Sayfada Güvenli URL leri kullan"
"Use Web Server Rewrites","Web Sunucusu URL Yeniden Yazımını (URL Rewrite) Kullan"
"VAT Number","Vergi Numarası"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT bilgisini Doğrula"
"Validate HTTP_VIA","HTTP_VIA bilgisini Doğrula"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR bilgisini Doğrula"
"Validate REMOTE_ADDR","REMOTE_ADDR Doğrula"
"Validation has failed.","Doğrulama yapılamadı."
"Values less than 60 are ignored. Note that changes will apply after logout.","60' tan küçük değerler gözardı edilecektir. Değişiklikler sistemden çıkış yaptıktan sonra aktif hale gelir."
"Variable Code must be unique.","Değişken Kodu eşsiz olmalıdır."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Dikkat! Bu özelliğin aktif edilmesi, çalışan mağazalarda tavsiye edilmez. Potansiyel güvenlik tehlikesi içermektedir."
"Web","Web"
"Website","Websitesi"
"Website Information","Websitesi Bilgisi"
"Website Name","Websitesi Adı"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Websitesi kodu alanında sadece harf (a-z veya A-Z), rakam (0-9) veya alt çizgi (_) kullanılmalıdır. İlk karakter kesinlikle harf olmalıdır."
"Website with the same code","Aynı Kod ile Web sitesi "
"Weekend Days","Haftasonu Günleri"
"Welcome Text","Karşılama Yazısı"
"Wrong file info format","Hatalı dosya bilgisi biçimi"
"Wrong number of arguments for %s","%s için yanlış sayıda parametre var"
"Wrong old style column type definition: {$definition}.","Hatalı eski tip kolon tip tanımı: {$definition}."
"Yes","Evet"
"You will have to log in after you save your custom admin path.","Özel Yönetim Adresi ayarladıktan sonra çıkış yapıp ayarladığınız adresten giriş yapınız."
"Your design change for the specified store intersects with another one, please specify another date range.","Belirlenen mağaza için tasarım değişikliği başka birisi ile çakışmaktadır. Lütfen başka bir tarih aralığı belirleyiniz."
"database ""%s""","veritabanı ""%s"""
